question,ground_truths,answer,contexts
Can an employer or agency use an automated employment decision tool without notifying candidates or employees about job qualifications and characteristics used in the assessment?,The corporation counsel or designated persons from the law department enforce the provisions of this law and take necessary legal actions to ensure compliance.,"No, the law requires notification about the job qualifications and characteristics that the tool will use in the assessment of candidates or employees.",The corporation counsel or designated persons from the law department may enforce the provisions of this law and take necessary legal actions to ensure compliance.
What are the notification requirements of local law 144?,"No, the law does not require DCWP to approve independent auditors, but auditors must meet specific criteria to be considered independent.","Under Local LAw 144, any employer or employment agency that uses an automated employment decision tool to screen an employee or a candidate who has applied for a position for an employment decision shall notify each such employee or candidate who resides in the city that an automated employment decision tool will be used to evaluate them. This  notice shall must made at least ten business days before the use of an automated employment decision tools and allow a candidate to request an alternative selection process or accommodation. The notice must also include the job qualifications and characteristics that such automated employment decision tool will use in the assessment of such candidate or employee.  An employer or employment agency must provide information on the employment section of its website in a clear and conspicuous manner about its AEDT data retention policy, the type of data collected for the AEDT, and the source of the data; post instructions on the employment section of its website in a clear and conspicuous manner for how to make a written request for such information, and if a written request is received, provide such information within 30 days; and provide an explanation to a candidate for employment or employee being considered for promotion why disclosure of such information would violate local, state, or federal law, or interfere with a law enforcement investigation. Candidates for employment can be given notice by providing notice in a job posting at least 10 business days before use of an AEDT t via U.S. mail or e-mail at least 10 business days before use of an AEDT. Additionally for employees for promotion can be given notice in a written policy or procedure that is provided to employees at least 10 business days before use of an AEDT. Ay notices on the employment section of an employment agency's or employer's website must be clear and conspicious.","Independent Auditor. “Independent auditor” means a person or group that is capable of exercising objective and impartial judgment on all issues within the scope of a bias audit of an AEDT. An auditor is not an independent auditor of an AEDT if the auditor: i. is or was involved in using, developing, or distributing the AEDT; ii. at any point during the bias audit, has an employment relationship with an employer or employment agency that seeks to use or continue to use the AEDT or with a vendor that develops or distributes the AEDT."
Can imputed or inferred data be used for a bias audit?,Complaints can be submitted by contacting 311 or directly to the Department of Consumer and Worker Protection (DCWP).,"No, historical data must be used, but if there's insufficient data, test data can be used.",Complaints regarding violations of this law can be submitted by contacting 311 or directly to the Department of Consumer and Worker Protection.
What is the responsibility of an employer or employment agency regarding information disclosure upon written request?,Discrimination claims involving AEDT use under the NYC Human Rights Law are enforced by the New York City Commission on Human Rights (NYCCHR).,"The employer or agency must provide information about its AEDT data retention policy, the type of data collected, and the data source within 30 days of a written request by a candidate or employee.",Discrimination claims involving AEDT use under the NYC Human Rights Law are enforced by the New York City Commission on Human Rights (NYCCHR).
What information must be made publicly available before the use of an AEDT?,"If there is insufficient historical data to conduct a statistically significant bias audit, employers can use test data.","Before the use of an AEDT, an employer or employment agency must make publicly available on its website the date of the most recent bias audit, a summary of the results, and the distribution date of the AEDT.","(b) Notwithstanding the requirements of subdivision (a) of this section, an employer or employment agency may rely on a bias audit that uses test data if insufficient historical data is available to conduct a statistically significant bias audit. If a bias audit uses test data, the summary of results of the bias audit must explain why historical data was not used and describe how the test data used was generated and obtained."
Can companies hiring for different positions rely on a bias audit based on data from multiple employers?,"An employer or agency can refuse to disclose AEDT information if the disclosure would interfere with a law enforcement investigation or violate local, state, or federal law.","Yes, as long as they provided historical data or if it's the first time they are using the AEDT.","(3) Provide an explanation to a candidate for employment or employee being considered for promotion why disclosure of such information would violate local, state, or federal law, or interfere with a law enforcement investigation."
"What is the significance of the ""Distribution Date"" for an AEDT?","A candidate can request an alternative selection process or a reasonable accommodation under other laws, if available.","The ""Distribution date"" is the date when the employer or employment agency began using a specific AEDT.","(a) The notice required by § 20-871(b)(1) of the Code must include instructions for how an individual can request an alternative selection process or a reasonable accommodation under other laws, if available. Nothing in this subchapter requires an employer or employment agency to provide an alternative selection process."
Are there any laws similar to local law 144?,Each day on which the tool is used in violation of the law constitutes a separate violation.,"A00567 in New York State requires annual impartial disparate impact analysis of automated employment decision tools and the publication of a summary of the results of the bias audit and A07859 requires notifications within 10 business days of the use of an automated employment decision tools. In New Jersey, AB4909 requires annual impartial bias audits of automated employment decision tools and notification of the use of these tools within 30 days but targets vendors rather than employers/employment agencies like the New York City and New York State laws do. Only the New York City law has been enacted and enforced currently; the laws in New Jersey and New York State have only been proposed.",Each day on which the tool is used in violation of the law constitutes a separate violation.
Who can initiate an action or proceeding for correction of a violation?,"The law requires employers or agencies to disclose the date of the most recent bias audit, a summary of the results, the distribution date of the AEDT, and the data retention policy on their website.",The corporation counsel or persons designated by the corporation counsel on behalf of the department may initiate an action or proceeding in any court of competent jurisdiction for correction of a violation.,"(a) Before the use of an AEDT, an employer or employment agency in the city must make the following publicly available on the employment section of their website in a clear and conspicuous manner: (1) The date of the most recent bias audit of the AEDT and a summary of the results, which shall include the source and explanation of the data used to conduct the bias audit, the number of individuals the AEDT assessed that fall within an unknown category, and the number of applicants or candidates, the s..."
To which tribunal is a proceeding to recover civil penalties returnable?,"Employers and agencies must notify NYC residents at least 10 business days before using an AEDT, either through their website, in a job posting, or via mail or email.",A proceeding to recover civil penalties is returnable to any tribunal established within the office of administrative trials and hearings or within any agency of the city designated to conduct such proceedings.,"(b) To comply with § 20-871(b)(1) and (2) of the Code, an employer or employment agency may provide notice to a candidate for employment who resides in the city by doing any of the following: (1) Provide notice on the employment section of its website in a clear and conspicuous manner at least 10 business days before use of an AEDT; (2) Provide notice in a job posting at least 10 business days before use of an AEDT; or, (3) Provide notice to candidates for employment via U.S. mail or e-mail at least 10 business days before use of an AEDT."
